10,400,180
50,10000,4900
100,40000,19800
250,250000,124500
500,1000000,499000
1000,4000000,1998000
1500,9000000,4497000
2000,16000000,7996000
2500,25000000,12495000
3000,36000000,17994000
3500,49000000,24493000
4000,64000000,31992000
4500,81000000,40491000
5000,100000000,49990000
5500,121000000,60489000
6000,144000000,71988000
6500,169000000,84487000
7000,196000000,97986000
7500,225000000,112485000
8000,256000000,127984000
8500,289000000,144483000
9000,324000000,161982000
9500,361000000,180481000
10000,400000000,199980000
11000,484000000,241978000
12500,625000000,312475000
14000,784000000,391972000
15000,900000000,449970000
16500,1089000000,544467000
